Institución,Jurisdicción,Institucion Universitaria|Universidad,Privada|Provincial|Nacional
Pontificia Universidad Católica Argentina Santa María de los Buenos Aires,Ciudad Autónoma de Buenos Aires,Universidad,Privada
Universidad Favaloro,Ciudad Autónoma de Buenos Aires,Universidad,Privada
Universidad Abierta Interamericana,Ciudad Autónoma de Buenos Aires,Universidad,Privada
Universidad Adventista del Plata,Entre Ríos,Universidad,Privada
Universidad Argentina de la Empresa,Ciudad Autónoma de Buenos Aires,Universidad,Privada
Universidad Argentina John F. Kennedy,Ciudad Autónoma de Buenos Aires,Universidad,Privada
Universidad Atlántida Argentina,Buenos Aires,Universidad,Privada
Universidad Austral,Buenos Aires,Universidad,Privada
Universidad Blas Pascal,Córdoba,Universidad,Privada
Universidad CAECE,Ciudad Autónoma de Buenos Aires,Universidad,Privada
Universidad Católica de Córdoba,Córdoba,Universidad,Privada
Universidad Católica de Cuyo,San Juan,Universidad,Privada
Universidad Católica de La Plata,Buenos Aires,Universidad,Privada
Universidad Católica de las Misiones,Misiones,Universidad,Privada
Universidad Católica de Salta,Salta,Universidad,Privada
Universidad Católica de Santa Fe,Santa Fe,Universidad,Privada
Universidad Católica de Santiago del Estero,Santiago del Estero,Universidad,Privada
Universidad Champagnat,Mendoza,Universidad,Privada
Universidad de Belgrano,Ciudad Autónoma de Buenos Aires,Universidad,Privada
Universidad de Ciencias Empresariales y Sociales,Ciudad Autónoma de Buenos Aires,Universidad,Privada
Universidad de Concepción del Uruguay,Entre Ríos,Universidad,Privada
Universidad de Congreso,Mendoza,Universidad,Privada
Universidad de Flores,Ciudad Autónoma de Buenos Aires,Universidad,Privada
Universidad de la Cuenca del Plata,Corrientes,Universidad,Privada
Universidad de la Fraternidad de Agrupaciones Santo Tomás de Aquino,Ciudad Autónoma de Buenos Aires,Universidad,Privada
Universidad de la Marina Mercante,Ciudad Autónoma de Buenos Aires,Universidad,Privada
Universidad de Mendoza,Mendoza,Universidad,Privada
Universidad de Morón,Buenos Aires,Universidad,Privada
Universidad de Palermo,Ciudad Autónoma de Buenos Aires,Universidad,Privada
Universidad de San Andrés,Buenos Aires,Universidad,Privada
"Universidad de San Isidro ""Dr. Plácido Marín""",Buenos Aires,Universidad,Privada
Universidad de San Pablo-T,Tucumán,Universidad,Privada
Universidad del Aconcagua,Mendoza,Universidad,Privada
Universidad del CEMA,Ciudad Autónoma de Buenos Aires,Universidad,Privada
Universidad del Centro Educativo Latinoamericano,Santa Fe,Universidad,Privada
Universidad del Cine,Ciudad Autónoma de Buenos Aires,Universidad,Privada
Universidad del Este,Buenos Aires,Universidad,Privada
Universidad del Gran Rosario,Santa Fe,Universidad,Privada
Universidad del Museo Social Argentino,Ciudad Autónoma de Buenos Aires,Universidad,Privada
Universidad del Norte Santo Tomás de Aquino,Tucumán,Universidad,Privada
Universidad del Salvador,Ciudad Autónoma de Buenos Aires,Universidad,Privada
Universidad Empresarial Siglo 21,Córdoba,Universidad,Privada
Universidad Gastón Dachary,Misiones,Universidad,Privada
Universidad ISALUD,Ciudad Autónoma de Buenos Aires,Universidad,Privada
Universidad Juan Agustín Maza,Mendoza,Universidad,Privada
Universidad Maimónides,Ciudad Autónoma de Buenos Aires,Universidad,Privada
Universidad Metropolitana para la Educación y el Trabajo,Ciudad Autónoma de Buenos Aires,Universidad,Privada
Universidad Salesiana Argentina,Río Negro,Universidad,Privada
Universidad Torcuato Di Tella,Ciudad Autónoma de Buenos Aires,Universidad,Privada
Escuela Universitaria de Teología,Buenos Aires,Institucion Universitaria,Privada
Instituto Tecnológico de Buenos Aires,Ciudad Autónoma de Buenos Aires,Institucion Universitaria,Privada
Instituto Universitario CEMIC,Ciudad Autónoma de Buenos Aires,Institucion Universitaria,Privada
Instituto Universitario de Ciencias Biomédicas de Córdoba,Córdoba,Institucion Universitaria,Privada
Instituto Universitario de Ciencias de la Salud de la Fundación Barceló,Ciudad Autónoma de Buenos Aires,Institucion Universitaria,Privada
Instituto Universitario de la Cooperación,Ciudad Autónoma de Buenos Aires,Institucion Universitaria,Privada
Instituto Universitario Escuela Argentina de Negocios,Ciudad Autónoma de Buenos Aires,Institucion Universitaria,Privada
Instituto Universitario Escuela de Medicina del Hospital Italiano,Ciudad Autónoma de Buenos Aires,Institucion Universitaria,Privada
Instituto Universitario Escuela Superior de Economía y Administración de Empresas,Ciudad Autónoma de Buenos Aires,Institucion Universitaria,Privada
Instituto Universitario Italiano de Rosario,Santa Fe,Institucion Universitaria,Privada
Instituto Universitario para el Desarrollo Productivo y Tecnológico Empresarial de la Argentina,Buenos Aires,Institucion Universitaria,Privada
Instituto Universitario River Plate,Ciudad Autónoma de Buenos Aires,Institucion Universitaria,Privada
Instituto Universitario YMCA,Ciudad Autónoma de Buenos Aires,Institucion Universitaria,Privada
Universidad de Buenos Aires,Ciudad Autónoma de Buenos Aires,Universidad,Nacional
Universidad de la Defensa Nacional,Ciudad Autónoma de Buenos Aires,Universidad,Nacional
Universidad Nacional Arturo Jauretche,Buenos Aires,Universidad,Nacional
Universidad Nacional de Avellaneda,Buenos Aires,Universidad,Nacional
Universidad Nacional de Catamarca,Catamarca,Universidad,Nacional
Universidad Nacional de Chilecito,La Rioja,Universidad,Nacional
Universidad Nacional de Córdoba,Córdoba,Universidad,Nacional
Universidad Nacional de Cuyo,Mendoza,Universidad,Nacional
Universidad Nacional de Entre Ríos,Entre Ríos,Universidad,Nacional
Universidad Nacional de Formosa,Formosa,Universidad,Nacional
Universidad Nacional de General Sarmiento,Buenos Aires,Universidad,Nacional
Universidad Nacional de Hurlingham,Buenos Aires,Universidad,Nacional
Universidad Nacional de Jujuy,Jujuy,Universidad,Nacional
